time,ARK: Survival Evolved,Warframe,Destiny 2,Monster Hunter: World,Team Fortress 2,NBA 2K20,Grand Theft Auto V,Wallpaper Engine,Dota 2,Dead by Daylight,Source SDK Base 2013 Multiplayer,Rust,Football Manager 2020,Counter-Strike: Global Offensive,PLAYERUNKNOWN'S BATTLEGROUNDS,Fall Guys,Tom Clancy's Rainbow Six Siege,Risk of Rain 2,Among Us,Sid Meier's Civilization VI,Terraria,Rocket League
2020-08-23 15:43:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058","41,192",0,0,0
2020-08-23 15:44:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058","41,192",0,0,0
2020-08-23 15:55:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058","41,192","45,827",0,0
2020-08-23 16:15:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058","41,192","45,827",0,0
2020-08-23 16:20:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058","41,192","45,827",0,0
2020-08-23 16:35:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 16:40:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 18:10:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 18:15:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 18:55:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 19:00:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827","34,289",0
2020-08-23 19:05:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322","43,058",0,"45,827",0,"63,920"
2020-08-23 19:10:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322",0,0,"45,827","34,289","63,920"
2020-08-23 19:15:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322",0,0,"45,827","34,289","63,920"
2020-08-23 19:20:00,"62,488","66,747","75,951","56,600","92,704","47,492","140,150","47,424","656,593","54,750","92,721","71,164","88,399","872,493","387,996","172,213","101,322",0,0,"45,827","34,289","63,920"
2020-08-23 22:35:00,"65,091","67,338","75,951","56,600","92,704","48,019","140,150","47,424","656,593","54,750","92,721","71,164","90,384","894,909","391,754","172,213","101,322","43,058",0,"45,827",0,"63,920"
2020-08-23 22:40:00,"65,281","67,500","75,951","56,600","92,704","48,099","140,150","47,424","656,593","54,750","92,721","71,164","90,787","897,316","393,211","172,213","101,322","43,058",0,"45,827",0,"63,920"
